Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
11.494253,6.2291,28.0,3.0,11.494252873563218,9.005386,5.546763,42.0,3.0,9.005385996409336,17.201704025268555,5016,1.0864019393920898,9.005386,0
16.17742,7.8853154,41.0,4.0,16.177419354838708,11.607888,6.7078123,48.0,3.0,11.607888631090487,21.45355987548828,10019,2.106278419494629,,1
24.390244,13.728869,78.0,5.0,24.390243902439025,16.382353,9.083899,52.0,4.0,16.38235294117647,29.652076721191406,15032,2.97225022315979,,2
25.76923,12.6864805,58.0,9.0,25.76923076923077,21.912664,12.702551,75.0,4.0,21.912663755458514,41.052520751953125,20050,3.834764242172241,,3
27.777779,12.942417,52.0,6.0,27.77777777777778,24.217392,13.016751,75.0,4.0,24.217391304347824,43.420169830322266,25063,4.684417724609375,,4
35.103447,20.418627,94.0,7.0,35.10344827586207,29.063583,16.057394,110.0,6.0,29.063583815028903,52.7269401550293,30091,5.556940793991089,,5
46.260868,16.235275,73.0,20.0,46.26086956521739,37.736843,17.907404,113.0,9.0,37.73684210526316,64.63919830322266,35110,6.419137239456177,,6
44.565216,19.617706,94.0,16.0,44.56521739130435,41.409836,18.3811,95.0,9.0,41.40983606557377,67.94827270507812,40162,7.286272048950195,,7
46.045456,15.677075,69.0,17.0,46.04545454545455,43.530434,17.628199,102.0,8.0,43.530434782608694,69.2472152709961,45168,8.147785425186157,,8
47.590908,21.984825,123.0,15.0,47.59090909090909,51.618557,23.532581,159.0,12.0,51.618556701030926,86.71952819824219,50175,9.006492853164673,,9
45.04348,16.385248,79.0,14.0,45.04347826086956,51.75258,19.442238,127.0,14.0,51.75257731958763,81.4060287475586,55195,9.878647804260254,,10
42.458332,17.0073,72.0,13.0,42.458333333333336,48.5534,17.633667,97.0,12.0,48.55339805825243,75.51676177978516,60196,10.737805604934692,,11
44.608696,16.481186,80.0,16.0,44.608695652173914,41.766666,17.304977,108.0,10.0,41.766666666666666,66.91968536376953,65208,11.61000919342041,,12
44.347828,16.53089,73.0,13.0,44.34782608695652,43.739132,18.497044,118.0,12.0,43.73913043478261,69.90128326416016,70238,12.462403059005737,,13
41.958332,15.854756,81.0,19.0,41.958333333333336,41.393444,15.649101,95.0,13.0,41.39344262295082,64.37262725830078,75288,13.332093238830566,,14
42.75,16.776098,93.0,10.0,42.75,43.448277,15.267356,85.0,9.0,43.44827586206897,66.18013000488281,80328,14.199342727661133,,15
